City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Usogorsk,63.4106,48.6872,12.69,83,99,3.13,RU,1686601863
118,Krasnohrad,49.3814,35.4402,11.47,88,93,5.42,UA,1686601923
119,Koundara,12.4833,-13.3,24.6,89,90,4.62,GN,1686601923
120,San Isidro,-12.1167,-77.05,22.77,64,20,9.26,PE,1686601924
121,Hinton,53.4001,-117.5857,27.56,23,51,0.47,CA,1686601875
122,Sisimiut,66.9395,-53.6735,1.04,80,19,6.57,GL,1686601924
123,Ballina,-28.8667,153.5667,11.55,90,9,1.76,AU,1686601924
124,Mandeure,47.4492,6.8076,21.57,41,92,2.95,FR,1686601925
125,Bulawayo,-20.15,28.5833,17.95,32,72,2.02,ZW,1686601925
126,San Patricio,28.017,-97.5169,37.87,43,0,7.61,US,1686601733
127,Bogandinskiy,56.8937,65.8938,8.15,60,82,2.69,RU,1686601925
128,Mount Isa,-20.7333,139.5,8.87,76,40,0.0,AU,1686601739
129,Poxoréo,-15.8372,-54.3892,23.99,75,83,1.92,BR,1686601926
130,Saynshand,44.8824,110.1163,19.98,27,3,2.66,MN,1686601926
131,Moab,38.5733,-109.5498,28.03,20,67,8.01,US,1686601926
132,Shiqian,27.5225,108.2281,18.64,97,100,0.78,CN,1686601927
133,Hauterive,46.0901,3.4459,17.42,97,100,1.54,FR,1686601927
134,Rémire-Montjoly,4.9167,-52.2667,30.02,70,20,5.14,GF,1686601833
135,Pearsall,28.8922,-99.095,38.66,28,14,5.22,US,1686601927
136,Tegucigalpa,14.0818,-87.2068,30.42,55,75,1.54,HN,1686601516
137,La Ronge,55.1001,-105.2842,22.14,33,100,5.14,CA,1686601720
138,Issia,6.4922,-6.5856,21.97,98,33,1.91,CI,1686601928
139,New Norfolk,-42.7826,147.0587,6.72,80,88,1.13,AU,1686601928
140,Port Mathurin,-19.6833,63.4167,24.99,70,84,7.98,MU,1686601707
141,Copala,16.65,-98.9833,32.05,58,97,4.41,MX,1686601929
142,Hamilton,39.1834,-84.5333,21.16,64,40,7.2,US,1686601812
143,Nemuro,43.3236,145.575,11.37,100,100,3.3,JP,1686601653
144,Vila Velha,-20.3297,-40.2925,25.97,84,40,5.66,BR,1686601658
145,Scottburgh,-30.2867,30.7532,15.71,66,22,2.6,ZA,1686601930
146,Rzepin,52.3464,14.8323,15.1,51,13,2.76,PL,1686601930
147,Al Ghayzah,16.2079,52.176,28.51,90,94,3.64,YE,1686601726
148,Cologne,50.9333,6.95,24.92,40,0,2.06,DE,1686601345
149,Tadine,-21.55,167.8833,21.39,69,46,5.99,NC,1686601931
150,Port Elizabeth,-33.918,25.5701,14.16,76,0,10.29,ZA,1686601931
151,Constanța,44.1833,28.65,15.39,78,36,7.95,RO,1686601931
152,Calderitas,18.55,-88.25,33.06,66,40,5.14,MX,1686601932
153,Harlingen,26.1906,-97.6961,34.47,79,0,6.69,US,1686601806
154,Sestri Levante,44.2732,9.3968,22.95,78,100,2.1,IT,1686601932
155,Lau,9.2167,11.2833,25.27,78,26,2.18,NG,1686601932
156,Holualoa,19.6228,-155.9522,25.31,86,40,4.63,US,1686601845
157,Hadibu,12.65,54.0333,28.09,78,100,7.76,YE,1686601933
158,Baruun-Urt,46.6806,113.2792,16.97,43,92,2.28,MN,1686601339
159,Pudasjärvi,65.3833,26.9167,13.69,47,26,5.6,FI,1686601933
160,Puerto Ayora,-0.7393,-90.3518,30.98,87,46,2.68,EC,1686601882
161,Anadyr,64.75,177.4833,6.28,81,0,5.81,RU,1686601934
162,Machalí,-34.1833,-70.6667,7.6,66,0,2.06,CL,1686601934
163,Jamestown,42.097,-79.2353,13.9,83,100,7.2,US,1686601934
164,Gadzhiyevo,69.2551,33.3362,10.96,81,100,0.45,RU,1686601935
165,Lorengau,-2.0226,147.2712,27.64,83,14,3.82,PG,1686601836
166,Petropavlovsk-Kamchatskiy,53.0452,158.6483,11.33,62,0,4.0,RU,1686601697
167,Tommot,58.9564,126.2925,4.38,98,100,1.57,RU,1686601935
168,Arteche,12.2645,125.4048,24.99,89,81,2.05,PH,1686601935
169,Bonga,7.2833,36.2333,15.16,98,100,0.58,ET,1686601936
170,Banff,51.1762,-115.5698,25.21,29,59,2.57,CA,1686601936
171,Naha,26.2125,127.6811,27.38,96,100,7.72,JP,1686601934
172,Taroa,8.7058,171.2275,28.28,80,97,7.32,MH,1686601936
173,Talnakh,69.4865,88.3972,7.34,94,100,3.43,RU,1686601937
174,Pariaman,-0.619,100.12,25.52,87,88,1.68,ID,1686601617
175,Udumalaippettai,10.5833,77.25,25.18,69,81,4.79,IN,1686601937
176,Pisco,-13.7,-76.2167,24.03,57,0,14.4,PE,1686601937
177,Palikir,6.9248,158.1611,27.41,78,100,2.57,FM,1686601938
178,Rio Grande,-32.035,-52.0986,11.06,53,3,4.89,BR,1686601572
179,Paramirim,-13.4425,-42.2389,27.34,35,64,3.34,BR,1686601938
180,Shingū,33.7333,135.9833,20.9,95,64,1.45,JP,1686601826
181,Qaqortoq,60.7167,-46.0333,8.87,60,100,3.05,GL,1686601939
182,Flying Fish Cove,-10.4217,105.6791,25.82,88,75,6.17,CX,1686601628
183,Dubove,48.1721,23.8895,8.47,86,7,2.46,UA,1686601939
184,At Tāj,24.2049,23.2857,36.04,13,0,5.23,LY,1686601645
185,Altay,47.8667,88.1167,14.24,56,0,2.38,CN,1686601939
186,Punta Arenas,-53.15,-70.9167,6.06,70,20,11.83,CL,1686601929
187,Chernyanka,50.9409,37.8069,11.03,82,100,6.17,RU,1686601940
188,Chinde,26.8418,88.0763,17.68,84,20,2.34,NP,1686601940
189,Katsuren-haebaru,26.3369,127.8719,27.43,100,100,4.63,JP,1686601838
190,Abū Qurqāş,27.9312,30.8384,32.01,24,0,4.25,EG,1686601940
191,Varva,50.495,32.7197,12.15,74,100,5.42,UA,1686601941
192,Ugoofaaru,5.6667,73.0,28.61,79,86,7.87,MV,1686601941
193,Vanimo,-2.6741,141.3028,25.32,89,100,2.32,PG,1686601941
194,Hermanus,-34.4187,19.2345,14.33,78,100,9.65,ZA,1686601667
195,Skovorodino,53.9833,123.9167,14.62,85,100,2.74,RU,1686601679
196,Queenstown,-31.8976,26.8753,10.09,51,100,7.78,ZA,1686601942
197,Perugorría,-29.3413,-58.6106,9.04,40,0,3.83,AR,1686601942
198,Wainwright,52.839,-110.8572,25.79,34,1,2.58,CA,1686601942
199,Hawaiian Paradise Park,19.5933,-154.9731,27.24,69,20,3.6,US,1686601943
200,Nabire,-3.3667,135.4833,24.3,92,100,1.42,ID,1686601943
201,Key West,24.5557,-81.7826,31.11,72,0,4.63,US,1686601934
202,Haiku-Pauwela,20.9219,-156.3051,29.01,48,20,8.75,US,1686601944
203,Tafresh,34.692,50.013,21.81,39,33,0.85,IR,1686601944
204,Malé,4.1748,73.5089,29.97,79,75,9.26,MV,1686601780
205,Laguna,38.421,-121.4238,24.49,55,0,4.63,US,1686601782
206,Poconé,-16.2567,-56.6228,24.65,62,60,2.95,BR,1686601945
207,Ibshawāy,29.358,30.6814,29.06,36,0,5.81,EG,1686601945
208,Newport,51.5877,-2.9984,20.06,84,82,0.85,GB,1686601945
209,Caleta de Carquín,-11.0925,-77.6267,23.03,69,10,6.63,PE,1686601677
210,Ulsteinvik,62.3432,5.8487,16.1,62,99,2.68,NO,1686601946
211,Hopelchén,19.7667,-89.85,41.18,22,37,0.83,MX,1686601946
212,Aswān,24.0934,32.907,35.61,20,0,2.57,EG,1686601946
213,Namsos,64.4662,11.4957,13.95,77,100,3.6,NO,1686601946
214,Lüderitz,-26.6481,15.1594,13.54,82,0,4.95,NA,1686601947
215,Åkrehamn,59.2667,5.1833,15.56,55,100,1.54,NO,1686601947
216,Singkil,-7.9855,111.4161,23.69,93,42,2.11,ID,1686601947
217,Gun Barrel City,32.3346,-96.1514,31.21,70,80,3.58,US,1686601947
218,Bamboo Flat,11.7,92.7167,27.05,89,75,2.57,IN,1686601850
219,Zaozërsk,69.4005,32.4476,11.87,78,100,4.95,RU,1686601645
220,Weno,7.4515,151.8468,27.97,83,75,4.12,FM,1686601948
221,Ta'if,21.2703,40.4158,23.56,22,43,5.28,SA,1686601948
222,Villanueva,15.3167,-88.0,38.35,41,20,6.17,HN,1686601948
223,Zhigalovo,54.8097,105.1578,12.9,52,100,0.98,RU,1686601949
224,Port Douglas,-16.4833,145.4667,21.12,84,71,1.82,AU,1686601949
225,Coquimbo,-29.9533,-71.3436,12.85,71,75,4.63,CL,1686601949
226,Bardai,11.65,7.2333,23.79,79,91,4.2,NG,1686601949
227,Olavarría,-36.8927,-60.3225,6.06,59,8,2.7,AR,1686601949
228,Arrondissement de Digne-les-Bains,44.0833,6.25,15.12,95,100,0.97,FR,1686601950
229,Revelstoke,50.9832,-118.2023,24.01,60,0,2.06,CA,1686601811
230,Shurugwi,-19.6702,30.0059,14.9,38,22,3.6,ZW,1686601950
231,Naryan-Mar,67.6713,53.087,8.74,90,100,5.52,RU,1686601950
232,Acajutla,13.5928,-89.8275,29.87,77,81,3.05,SV,1686601951
233,Arnedo,42.2167,-2.1,16.72,84,100,1.03,ES,1686601951
234,Kulhudhuffushi,6.6221,73.07,28.77,77,95,8.26,MV,1686601951
235,Polyarny,69.1989,33.4478,10.87,82,100,0.38,RU,1686601951
236,Hilo,19.7297,-155.09,28.12,68,20,3.6,US,1686601946
237,Pionerskiy,54.9508,20.2275,15.42,47,100,5.2,RU,1686601952
238,Kerikeri,-35.2268,173.9474,7.17,94,4,2.48,NZ,1686601952
239,Vilyuchinsk,52.9306,158.4028,12.15,55,0,3.2,RU,1686601952
240,Kavieng,-2.5744,150.7967,28.18,77,81,6.13,PG,1686601952
241,Aykhal,66.0,111.5,7.19,55,32,3.94,RU,1686601644
242,Ola,59.5833,151.2833,10.08,96,100,3.58,RU,1686601953
243,Bodaybo,57.8506,114.1933,7.25,88,69,1.92,RU,1686601611
244,Columbus,39.9612,-82.9988,19.59,61,75,4.63,US,1686601737
245,Lebu,-37.6167,-73.65,10.36,75,0,7.81,CL,1686601866
246,Baykal'sk,51.5058,104.1469,10.71,100,100,1.44,RU,1686601954
247,Bani Walid,31.7566,13.9942,24.47,50,0,4.32,LY,1686601954
248,Dolinsk,47.35,142.8,12.91,88,100,1.08,RU,1686601954
249,Modelu,44.2,27.3833,17.22,55,86,3.13,RO,1686601954
250,Vilhena,-12.7406,-60.1458,24.12,83,75,5.14,BR,1686601954
251,Nova Sintra,14.8667,-24.7167,21.84,84,70,6.86,CV,1686601955
252,Arraial do Cabo,-22.9661,-42.0278,22.98,94,0,3.09,BR,1686601955
253,Howrah,22.5892,88.3103,28.0,89,40,1.54,IN,1686601956
254,Blythe,33.6103,-114.5964,31.25,23,0,4.63,US,1686601625
255,Invercargill,-46.4,168.35,9.48,89,99,1.67,NZ,1686601956
256,El Aïoun,34.5832,-2.5061,22.6,53,3,2.7,MA,1686601956
257,Vorgashor,67.5833,63.95,3.41,55,96,2.8,RU,1686601956
258,North Bend,43.4065,-124.2243,22.91,77,75,7.2,US,1686601957
259,Gaalkacyo,6.7697,47.4308,26.82,62,76,10.17,SO,1686601957
260,Touros,-5.1989,-35.4608,26.42,79,1,5.96,BR,1686601759
261,Mahibadhoo,3.7833,72.9667,28.75,78,40,7.88,MV,1686601958
262,Saipan,15.1355,145.701,28.39,100,40,4.92,MP,1686601958
263,Altai,46.3722,96.2583,14.25,64,71,1.41,MN,1686601958
264,Kangding,30.0513,101.9603,12.37,94,100,0.38,CN,1686601958
265,Akureyri,65.6835,-18.0878,12.96,58,0,6.17,IS,1686601958
266,Zaigrayevo,51.8336,108.2703,14.49,79,72,0.82,RU,1686601959
267,Newman,37.3138,-121.0208,27.81,28,43,1.51,US,1686601666
268,Quellón,-43.1167,-73.6167,8.14,71,0,2.57,CL,1686601959
269,El Abiodh Sidi Cheikh,32.893,0.5484,31.69,9,1,3.87,DZ,1686601702
270,Tomé Açu,-2.4189,-48.1522,26.59,80,100,1.23,BR,1686601960
271,Florø,61.5996,5.0328,14.98,72,100,7.2,NO,1686601646
272,Xilin Hot,43.9667,116.0333,13.29,67,9,2.05,CN,1686601658
273,Shizuishan,39.2333,106.7694,19.39,24,0,1.82,CN,1686601960
274,Sandpoint,48.2766,-116.5533,29.36,41,0,3.13,US,1686601666
275,Acapulco de Juárez,16.8634,-99.8901,32.9,62,40,5.66,MX,1686601612
276,Saint Paul Harbor,57.79,-152.4072,10.73,54,40,5.14,US,1686601961
277,Santa Cruz de Bezana,43.4437,-3.9032,19.95,94,20,1.79,ES,1686601961
278,Brigg,53.552,-0.4921,20.03,77,54,3.6,GB,1686601961
279,Bodø,67.28,14.405,9.02,97,40,8.75,NO,1686601962
280,Daru,-9.0763,143.2092,25.46,87,97,5.78,PG,1686601962
281,Saint-Pierre,-21.3393,55.4781,22.54,73,100,2.06,RE,1686601827
282,Fuglafjørður,62.244,-6.814,10.26,73,0,0.91,FO,1686601962
283,Igoumenitsa,39.5039,20.2656,20.81,78,5,1.46,GR,1686601963
284,Tanguiéta,10.6212,1.2665,24.63,88,100,1.56,BJ,1686601963
285,Përmet,40.2336,20.3517,16.92,94,13,0.76,AL,1686601963
286,Monterey,36.2505,-121.2516,22.32,1,50,2.39,US,1686601963
